,year,region,Geo_point,geopoint_x,geopoint_y,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured,driving_licenses_issues
0,2016,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,3618.0,185.0,1227.0,4614
1,2016,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,10212.0,245.0,920.0,9371
2,2016,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,32684.0,983.0,2541.0,41367
3,2016,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,101619.0,1113.0,4893.0,142307
4,2016,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,10199.0,299.0,932.0,54507
5,2016,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,25873.0,514.0,2259.0,11504
6,2016,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,14475.0,822.0,4184.0,24540
7,2016,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,134838.0,2243.0,12383.0,136055
8,2016,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,3235.0,173.0,706.0,2153
9,2016,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,13196.0,193.0,631.0,4958
10,2016,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,25664.0,397.0,1513.0,9180
11,2016,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,141736.0,1430.0,4207.0,242851
12,2016,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,16031.0,434.0,1724.0,13610
13,2017,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,1414.0,134.0,1007.0,4131
14,2017,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,10469.0,240.0,862.0,8091
15,2017,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,25245.0,828.0,2368.0,39133
16,2017,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,81433.0,963.0,4073.0,126816
17,2017,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,9379.0,265.0,773.0,22035
18,2017,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,22161.0,466.0,2207.0,18345
19,2017,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,16070.0,580.0,2917.0,36165
20,2017,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,145541.0,1641.0,10623.0,142487
21,2017,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,3193.0,194.0,766.0,13825
22,2017,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,11540.0,112.0,374.0,5280
23,2017,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,22405.0,319.0,1446.0,6318
24,2017,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,99925.0,1399.0,4540.0,495307
25,2017,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,11713.0,348.0,1243.0,10232
26,2012,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,143954
27,1994,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,75349
28,1998,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,86082
